Title,Caption,Sentiment,Emotion,Desire,Inference Sequence
Mother teaching son to read book on sofa,Mother teaching son to read book on sofa,neutral,neutral,family,D-S-E
"In Flagranti, Greedy Thief with Bad Luck",Greasy old thief counting the stolen dollars with a greedy smile. Bad luck. The surprised witch is already sneaking towards him with a scythe. Satire Dark Age Scene.,negative,anger,vengeance,D-E-S
Young Black Woman Walking with Coffee,Young black woman walking with a cup of coffee,neutral,neutral,none,D-S-E
Boy playing with bubble wrap at home,Boy playing with bubble wrap at home in California,positive,happiness,curiosity,S-E-D
Young woman using laptop comfortably at home,Young woman is using a laptop comfortably in the living room at home.,neutral,neutral,none,S-E-D
Two Mafia Men Beating Up Handcuffed and Captive Man,Two Mafia Men Beating Up Handcuffed and Captive Man,negative,anger,vengeance,D-S-E
Portrait of pensive young woman,Portrait of pensive young woman,negative,sad,none,S-E-D
Studio Portrait of Middle Aged Japanese Woman,Studio Portrait of Middle Aged Japanese Woman,positive,happiness,none,S-E-D
Woman in shopping mall,Young woman in the shopping mall,positive,happiness,none,S-E-D
Man in quarantine looking through the window,Manan in quarantine wearing a mask and looking through the window. Pandemic of Coronavirus / Covid-19.,negative,fear,curiosity,D-S-E
"Portrait of Angry Young Man Holding Large Knife, Low Key",Portrait of Angry Young Man Holding Large Knife,negative,anger,vengeance,E-S-D
Self defense gesturing,Woman making a self defense gesture,negative,fear,tranquility,S-E-D
Happy elderly man at home using digital tablet,Happy elderly man relaxing on a chair at home and listening to music on digital tablet with headphones,neutral,neutral,none,D-S-E
Young man with head in hands and mouth open,Young man with head in hands and mouth open,negative,fear,none,S-E-D
Woman Depressed And Alone,Depressed woman sitting alone is a dark tunnel with light at the other end.,negative,sad,tranquility,D-S-E
Close-up of angry woman puffing cheeks,Close up portrait of angry woman puffing cheeks on gray background. Vertical shot of real woman feeling uncomfortable and stressed.,negative,disgust,none,S-D-E
Year old girl blowing on snowflakes,Year old girl blowing on snowflakes,positive,happiness,none,S-E-D
Hipster young man showing female colleague laptop,"Mature businesswoman smiling with employee, working together, collaboration, teamwork",positive,happiness,social-contact,D-E-S
Scared Student in School bus,Terrified Student hiding in School bus,negative,fear,curiosity,E-S-D
Two friends having an argument on the street,Two friends having an argument on the street.,negative,anger,none,S-D-E
Happy young couple kissing on the beach,Happy young couple kissing on the beach,positive,happiness,romance,D-S-E
Childhood is the best fairytale,Shot of two adorable brothers reading books while relaxing together on the sofa at home,positive,happiness,curiosity,D-S-E
Doctor Resting Head on Wall,Doctor Resting Head on Wall,negative,sad,none,E-S-D
Portrait of smiling senior man at home,Portrait of smiling senior man at home,positive,happiness,none,S-E-D
Birthday party in the office,Group of friends at office birthday party,positive,happiness,social-contact,S-E-D
Beautiful blonde woman reading book on a picnic.,"High angle view photo. Artistic concept. Book, reading.",neutral,neutral,none,S-E-D
Man and young woman wading in the sea,Man and young woman wading in the sea,neutral,neutral,none,S-E-D
M on the journey of finding myself,Shot of a beautiful young woman practising yoga in a studio,neutral,neutral,none,D-S-E
Man and woman snuggling in bed asleep,Man and woman snuggling in bed asleep,neutral,neutral,none,S-E-D
Woman messaging on phone while leaning on friend,Smiling woman text messaging on smart phone while leaning on friend's leg in living room,neutral,neutral,none,D-S-E
Looking Out,Woman peering out from behind window blinds.,negative,fear,curiosity,S-E-D
Multi-ethnic teenage girls having fun singing at slumber party,"Young multi-ethnic girls watching video clips on TV, holding hairbrush and singing at pajama party",positive,happiness,social-contact,D-S-E
Man getting out of water on jetty,Man getting out of water on jetty with happy face,positive,happiness,none,S-E-D
"If you’re happy and you know it, clap your hands",Cropped shot of a young mother spending time with her baby girl,positive,happiness,family,E-S-D
Two black woman walking through a grass field,Two mature black woman together in nature.,neutral,neutral,none,D-S-E
Upset woman sitting on sofa at home,Upset woman sitting on sofa at home,negative,sad,none,E-D-S
Senior man with dog walking on beach,"Senior man with dog walking on beach in Florida, Jacksonville",neutral,neutral,none,S-E-D
Businesswoman blowing nose in office,Businesswoman blowing nose in office,negative,disgust,none,D-S-E
Doctors face heavy levels of stress too,Shot of a young female nurse looking stressed out while standing at a window in a hospital,negative,sad,none,S-E-D
"Male executive on hotel bed, lifting cover off meal on lap","Male executive on hotel bed, lifting cover off meal on lap",negative,disgust,none,D-S-E
Girls watching television screaming and throwing popcorn into air,Girls watching television screaming and throwing popcorn into air,negative,fear,curiosity,D-S-E
Portrait of grimacing woman outdoors,Portrait of grimacing woman outdoors,negative,anger,none,S-E-D
Motherhood,Breastfeeding in the morning,neutral,neutral,family,D-S-E
"Chile, Puren, Nahuelbuta National Park, boy standing in bamboo forest looking up","Chile, Puren, Nahuelbuta National Park, boy standing in bamboo forest looking up",positive,happiness,curiosity,D-S-E
Silhouette Man Proposing Girlfriend Against Sky During Sunset,Silhouette Man Proposing Girlfriend Against Sky During Sunset,positive,happiness,romance,D-S-E
Cheerful laughing woman on the beach,Cheerful laughing teenage girl during summer holiday on the beach,positive,happiness,none,S-E-D
Angry woman,Young woman pointing to camera somewhat angry,negative,anger,none,S-E-D
Big family hug,Two parents two kids,positive,happiness,family,D-S-E
Angry teenage boy,Portrait Of Angry Teenage Boy Wearing Eyeglasses,negative,anger,none,S-E-D
Portrait of staring man at sunset,Portrait of staring man at sunset,negative,fear,none,S-E-D
Mature woman is having the morning coffee at home,Mature woman is having the morning coffee at home,neutral,neutral,none,S-D-E
Mother comforting daughter sitting on sofa,Mother comforting daughter sitting on sofa,negative,sad,none,S-E-D
Nervous passenger sitting on airplane,Nervous passenger sitting on airplane,negative,fear,tranquility,S-E-D
Businesswoman punching her colleague,Angry businesswoman punching her colleague's face against blue background at night.,negative,anger,vengeance,E-S-D
"Father on paternity leave looking after small son indoors, blowing his nose.",Man with a boy standing at home.,neutral,neutral,family,D-S-E
It’s cuddle time,Shot of a young mother bonding with her adorable baby boy at home,positive,happiness,family,E-S-D
Family is life's greatest catch,Shot of a father and son fishing together,neutral,neutral,family,D-S-E
Young woman reading book on bed at home,Young woman lying on bed next to the open balcony window and reading a book. Apartment has a nice view and beautiful light at morning. She wears pajamas and looks serene and beautiful.,neutral,neutral,none,S-E-D
Young Family in Church Aisle With Bread and Wine,Young Family in Church Aisle With Bread and Wine,neutral,neutral,family,D-S-E
Portrait of a smiling young woman sitting in armchair surrounded by plants,Portrait of a smiling young woman sitting in armchair surrounded by plants,positive,happiness,none,S-E-D
Adorable young family with newborn,Happy young woman and her husband smile at their sweet newborn baby boy. They are relaxing in their home.,positive,happiness,family,S-E-D
Smiling mature businessman talking on cell phone,Smiling mature businessman talking on cell phone,positive,happiness,none,S-E-D
Mom and Son Reading Book Together in Living Room,"Young Hispanic mom reads a book aloud to her young son, who has food on his face.. They're pointing at the pictures together. A teddy bear is snuggled up with them.",neutral,neutral,family,D-S-E
Young girl tearing the head off a teddy bear,"Young woman holding the head and the body of a cute, toy teddy bear that she has ripped into two pieces in a fit of anger.",negative,anger,vengeance,E-S-D
Small sad boy looking through the window during Coronavirus isolation.,Small sad boy looking through the window. Concept for social distancing during coronavirus pandemic,negative,sad,tranquility,D-S-E
"Father with baby taking selfie in forest, Queenstown, Canterbury, New Zealand","Father with baby taking selfie in forest, Queenstown, Canterbury, New Zealand",positive,happiness,curiosity,S-E-D
"Young, sad child sitting alone at an outdoor picnic table","Young, sad child sitting alone at an outdoor picnic table",negative,sad,none,E-S-D
Artistic family working with clay,Father and son working on art,neutral,neutral,family,D-S-E
Remote Working - Young Asian Woman Working from Home Office,Distance Working - young woman using laptop to work and to keep in touch with friends and family.,positive,happiness,none,S-E-D
Good book can do the world of good,High angle shot of a young woman reading a book on the sofa at home,neutral,neutral,none,D-S-E
Girl in bathing suit sprayed with water hose.,Girl in bathing suit sprayed with water hose.,positive,happiness,none,S-E-D
If you're lucky you marry your best friend,Shot of a newlywed couple standing close together after the wedding ceremony,positive,happiness,romance,D-S-E
New born sleeping on a bed,New born sleeping on a bed,neutral,neutral,none,D-S-E
Large group of people jumping against the clear sky.,Below view of a large group of people jumping in the field against the clear blue sky.,positive,happiness,social-contact,D-S-E
Portrait of young woman relaxing on a meadow,Portrait of young woman relaxing on a meadow,neutral,neutral,none,D-S-E
Walking with my Grandmother,Happy mature woman smiles as she walks through the countryside with her granddaughter and her pet dog. They are walking through the hills out in the countryside.,neutral,neutral,none,S-E-D
Domestic violence victim,"Domestic violence victim, a young woman being hurt",negative,sad,tranquility,S-E-D
Handsome man driving a car,Handsome man driving a car,positive,happiness,none,S-E-D
Woman stretching,Woman stretching ham strings before a run,positive,happiness,none,S-E-D
Little boy reading book in bed,Little boy reading book in bed,positive,happiness,curiosity,D-S-E
Mother holding her toddler,Mother holds her son in her arms while a male doctor gives him a checkup.,neutral,neutral,family,D-S-E
Portrait of a young french man,Portrait of a young french man on a green background.,positive,happiness,none,S-E-D
Enjoying spring on my balcony,"Photo of a woman drinking first morning coffee, eating 'take out' food and reading daily news online - on the balcony of her apartment while enjoying springtime sun",neutral,neutral,none,S-E-D
Sad young woman sitting curled up on the egde of the bed,"Sad young woman sitting on the edge of the bed and holding her legs curled up, her unconcerned boyfriend lying in the background",negative,sad,romance,D-E-S
"Couple in bed with mobile phones at night, man looking with suspicion","Young couple lying in bed in the evening with mobile phones, man looking at woman's phone with suspicion",negative,sad,romance,D-S-E
Enjoying a Drink at Book Club,Large group of people with a mixed age range sitting together around a table. They are enjoying a drink and having a book club meeting.,neutral,neutral,none,S-E-D
Jealous woman watching couple,Jealous woman watching couple,negative,sad,romance,D-E-S
Old man reading book to young girl,Old man reading book to young girl,neutral,neutral,family,D-S-E
Mother And Her Son Doing Homework,Mother helping to her son to finish homework.,neutral,neutral,family,D-S-E
Unexpected turn,Young girl unprepared for marriage,positive,happiness,romance,D-S-E
Woman sitting in front of laptop with head in hands,Woman sitting in front of laptop with head in hands,negative,sad,none,S-E-D
"Father and daughter sitting in dark children's room, looking at digital tablet","Father and daughter sitting in dark children's room, looking at digital tablet",neutral,neutral,family,D-S-E
Happy young woman hugging girl on the beach,Happy young woman hugging girl on the beach,positive,happiness,romance,D-S-E
Film Noir Gun Shot with Blood Splatter,"Film noir gun shot right at point of shot with blood spray from wound. Image is not a composite, all effects including smoke from gun and blood spray caught in camera. Blood splatter caught in blurred motion.",negative,anger,vengeance,D-E-S
Happy female runner holding water bottle,Happy female runner holding water bottle,positive,happiness,none,S-E-D
Cute Couple,"Friends are meeting in a white room. As there are three people in this situation, a little drama and comedy is all natural.",positive,happiness,romance,D-S-E
Cheering for my little player,"Photo of a little boy, baseball player, who needed some cheering and courage from his mother.",positive,happiness,family,S-E-D
Father teaching daughter to play piano,Father teaching daughter to play piano at home. Man is assisting child in playing keyboard instrument. They are at home.,neutral,neutral,family,D-S-E
Problems in a relationship!,Young couple feeling depressed after a fight while sitting back to back on a bed in bedroom.,negative,sad,romance,S-E-D
Thoughtful Tensed Woman Against Wall By Window At Home,Thoughtful Tensed Woman Against Wall By Window At Home,negative,sad,none,E-D-S
"Baby sitting in a bed of poppy flowers, looking at them curiously.","Baby sitting in a bed of poppy flowers, looking at them curiously.",positive,happiness,curiosity,D-S-E
Frustrated girl wearing tutu pouting on sofa,Frustrated girl wearing tutu pouting on sofa,negative,anger,none,D-S-E
Young girl looking through homemade telescope at home,Young girl looking through homemade telescope at home,positive,happiness,curiosity,D-S-E
"Family of Hikers Resting at Shoreline of Alpine Lake, Canada","Canada. An extended, real family of hikers stops to explore a lake in a wilderness park. Seymour Provincial Park, North Vancouver, British Columbia, Canada.",neutral,neutral,family,D-S-E
Mom and son playing in the kitchen,"Mom and son playing in the kitchen, drinking tea",positive,happiness,family,D-S-E
We enjoy life sip by sip,Cropped shot of a senior couple spending quality time together at home,positive,happiness,romance,D-E-S
Attractive Generation Z Young Woman of Hispanic Ethnicity Smiling for a Portrait,In Western Colorado Attractive Generation Z Young Woman of Hispanic Ethnicity Part of a Series,positive,happiness,none,S-E-D
Colourful studio portrait of a gay male couple,Portrait of gay men having fun together and celebrating their love,positive,happiness,romance,D-S-E
Working hard for the big results they seek,Shot of a young businesswoman working on a laptop alongside her colleague in an office at night,positive,happiness,none,S-E-D
Young sporty woman practicing yoga,Young sporty woman practicing yoga,neutral,neutral,none,S-E-D
"Shane Curran, who has a fear of needles, covers his eyes while receiving a Johnson & Johnson vaccine at a CVS pharmacy in West Hills on April 29, 2021. Curran was very reluctant to get a COVID vaccine but his friend made him an appointment and he got up the courage to get it. Its not a pain thing. Its completely psychological, Curran said about his fear of needles. Im..","Shane Curran, who has a fear of needles, covers his eyes while receiving a Johnson & Johnson vaccine at a CVS pharmacy in West Hills on April 29, 2021. Curran was very reluctant to get a COVID vaccine but his friend made him an appointment and he got up the courage to get it. Its not a pain thing. Its completely psychological, Curran said about his fear of needles. Im pro-vaccine, Im just anti-needle, he said.",negative,fear,none,S-E-D
"Prince William, Duke of Cambridge and Catherine, Duchess of Cambridge smile following their marriage at Westminster Abbey on April 29, 2011 in London, England. The marriage of the second in line to the British throne was led by the Archbishop of Canterbury and was attended by 1900 guests, including foreign Royal family members and heads of state. Thousands of well-wishers from around the world have also flocked to London to..","Prince William, Duke of Cambridge and Catherine, Duchess of Cambridge smile following their marriage at Westminster Abbey on April 29, 2011 in London, England. The marriage of the second in line to the British throne was led by the Archbishop of Canterbury and was attended by 1900 guests, including foreign Royal family members and heads of state. Thousands of well-wishers from around the world have also flocked to London to witness the spectacle and pageantry of the Royal Wedding.",positive,happiness,romance,D-S-E
Child playing hands with parents,Family to play in the evening,positive,happiness,family,E-S-D
Senior people playing cards in nursing home,"Group of people, senior people playing cards in nursing home.",positive,happiness,social-contact,D-S-E
Female patient in wheelchair with intravenous drip,Female patient in wheelchair with intravenous drip,negative,sad,tranquility,S-E-D
"Young woman relaxing at home with a cup of tea, listening music","Young woman relaxing at home with a cup of tea, listening music",neutral,neutral,none,S-E-D
Family fun for the smart generation,Shot of a happy young family using wireless devices on the sofa at home,positive,happiness,family,D-S-E
Soccer players arguing,Two football players arguing with each other during match.,negative,anger,vengeance,E-S-D
An asian chinese beautiful woman pet owner bonding time with her pet french bulldog on sofa pretend flying,An asian chinese beautiful woman pet owner bonding time with her pet french bulldog on sofa,positive,happiness,none,S-E-D
Elderly Man Looking At Dancing Couples On Dance Floor,"Outdoor dance floor in Älmsta, Norrtälje, July 2016.",negative,sad,romance,S-D-E
Mature pregnant woman with a headache lies down on the sofa and holds her head,Mature pregnant woman with a headache lies down on the sofa and holds her head,negative,sad,tranquility,S-D-E
Patient looking scared in dentist chair,Patient looking scared in dentist chair,negative,fear,none,S-E-D
"Germany, little boy discovering nature","Germany, little boy discovering nature",positive,happiness,curiosity,D-S-E
Getting away from it all,Mature woman leaning out the window of her car having fun as the sunset over the Tuscany Landscape. She smiles and her arm is outstretched.,positive,happiness,none,S-E-D
Scared of the dark,Scared of the dark,negative,fear,tranquility,S-E-D
Smiling senior woman in kitchen at home looking out of window,Smiling senior woman in kitchen at home looking out of window,positive,happiness,curiosity,S-E-D
"Mother and son practicing yoga at home, ground view","Mother and son practicing yoga at home, ground view",neutral,neutral,family,D-S-E
Single woman holding her knees on the street,Scared and lonely teenage girl that ran away from home.,negative,fear,tranquility,S-E-D
Angry Crowd On White,"An angry crowd with pitchforks and axes raised high expresses their anger in an image about social media, crowds, mob violence, protest and riots.",negative,anger,vengeance,D-E-S
College students watching scary movie on laptop,College students watching scary movie on laptop,negative,fear,curiosity,D-S-E
Young couple standing together while young man stands alone,Young couple standing together while young man stands alone,negative,sad,romance,S-E-D
Laundry left in clothes dryer stinks! Unhappy woman holds nose.,"In an unusual view from inside the clothes drier drum, we see a horrified young woman holding her nose as she looks at the laundry which must have been forgotten and now smells!",negative,disgust,none,S-E-D
Cheerful group of people jumping with raised hands.,"Successful, happy group of people jumping together with raised hands.",positive,happiness,social-contact,D-S-E
The next best triumph could be around the corner,Shot of a young designer using his digital tablet in a office,positive,happiness,none,S-E-D
Learning in a fun way,Shot of a cheerful little boy browsing on a digital tablet while lying on his father's lap at home during the day,positive,happiness,family,S-E-D
Happy Mother and Father teaching toddler daughter to ride tricycle,Happy African American mother and father teaching their toddler daughter to ride a tricycle. She is smiling and is wearing a pink helmet. The tricycle is also pink. There are many trees behind them on the path.,neutral,neutral,family,D-S-E
Middle Aged Redhead Father coaching soccer to a Girl Football team at training,Middle Aged Redhead Father coaching soccer to a Girl Football team at training,neutral,neutral,family,D-S-E
"Young Asian mother reading books to little daughter in bed, they are enjoying family bonding time together at home","Young Asian mother reading books to little daughter in bed, they are enjoying family bonding time together at home",positive,happiness,family,E-S-D
Studio shot of young woman screaming,Studio shot of young woman screaming,negative,fear,none,E-S-D
Side view of father carrying daughter on shoulders at city street,Side view of father carrying daughter on shoulders at city street,neutral,neutral,family,S-E-D
Fisherman staring at sea on the fishing boat deck,Fisherman staring at sea on the fishing boat deck,neutral,neutral,none,S-E-D
Black woman exercising and listening to mp3 player,Black woman exercising and listening to mp3 player,neutral,neutral,none,S-E-D
Smiling woman walking on the beach whit four dogs,"Smiling woman on the beach carrying four dogs, two greyhounds, a mongrel and a Golden Retriever",neutral,neutral,none,S-E-D
"Two Asian Young women shopping for wedding dress gowns in boutique discount store, many white garments hanging on rack hangers row.","Wedding Dress, Dress, Shopping, Store, Women, Asian and Indian Ethnicities, Shanghai",positive,happiness,romance,D-S-E
Happy senior couple dancing and laughing together at home,"Playful mature husband and wife having fun, celebrating, dancing and laughing together in living room",positive,happiness,romance,D-S-E
Studio portrait of a beautiful girl,Studio portrait of a beautiful girl,positive,happiness,none,S-E-D
"Portrait of a confident, successful, happy mature woman",Close-up portrait of a beautiful senior woman against blue background,positive,happiness,none,S-E-D
Smiling mother helping toddler daughter put on helmet before riding scooter,Smiling mother helping toddler daughter put on helmet before riding scooter,neutral,neutral,family,D-S-E
Streaming some new music,Cropped shot of a handsome young man listening to music on his mobile phone at home,neutral,neutral,none,S-E-D
Life's short...go fishing.,Shot of two young men fishing off a pier,neutral,neutral,none,S-E-D
"Christmas portrait of excited beautiful woman, close up of face stock photo","Mid adult beautiful woman wearing sweater and reindeer horns standing against grey background, looking up and laughing.",positive,happiness,none,E-S-D
Pet daycare,Pet sitter caring about dogs. She is playing with them at home based environment. She is keeping in contact daily with updates on walks and activities and photos. Taking photo of pets to update owner about pets,neutral,neutral,none,D-S-E
"Prince William and Kate Middleton pose for photographs in the State Apartments of St James Palace on November 16, 2010 in London, England. After much speculation, Clarence House today announced the engagement of Prince William to Kate Middleton. The couple will get married in either the Spring or Summer of next year and continue to live in North Wales while Prince William works as an air sea rescue pilot for..","Prince William and Kate Middleton pose for photographs in the State Apartments of St James Palace on November 16, 2010 in London, England. After much speculation, Clarence House today announced the engagement of Prince William to Kate Middleton. The couple will get married in either the Spring or Summer of next year and continue to live in North Wales while Prince William works as an air sea rescue pilot for the RAF. The couple became engaged during a recent holiday in Kenya having been together for eight years.",positive,happiness,romance,D-S-E
Deadlines often come with associated stress,"Angry man talking on phone disputing over computer laptop problem, stressed unsatisfied impatient customer arguing by mobile solving online difficulty with technical support complain on bad service",negative,anger,none,E-D-S
Young women jogging and getting healthy at the park,Young women jogging and getting healthy at the park,neutral,neutral,none,S-E-D
Young man reading on the tropical beach with blue sky on vacation. Travel and summer time.,Young man reading on the tropical beach with blue sky on vacation. Travel and summer time.,neutral,neutral,none,D-S-E
Couple screaming at each other,"Man and woman, married couple arguing at home.",negative,anger,vengeance,E-S-D
Office Woman at Desk,Office Woman at Desk,negative,fear,tranquility,S-D-E
Man asleep in bed,Man asleep in bed,neutral,neutral,none,S-E-D
Female Friends over fifty exercising outdoors,Female Friends over fifty exercising outdoors.,neutral,neutral,none,D-S-E
Side view of father cooking food while daughter having apple in kitchen,Side view of father cooking food while daughter having apple in kitchen,neutral,neutral,family,S-D-E
Carefree young man pushing girlfriend in a shopping cart,Carefree young man pushing girlfriend in a shopping cart,positive,happiness,romance,D-S-E
Portrait Of Scared Man Against Gray Background,Portrait Of Scared Man Against Gray Background,negative,fear,none,S-E-D
"Small, sad girl cuddling a teddy","This is a picture of a 4 year old blonde girl cuddling a teddy. She looks sad and lonely. It is taken in Nottingham, UK.",negative,sad,tranquility,S-E-D
Senior Mexican Woman Riding Bicycle,Attractive Mexican Woman Biking,positive,happiness,none,S-E-D
Woman Taking Bath And Smiling While Messaging Someone,Woman taking a bath and smiling while messaging someone she met on a dating app using her smartphone.,neutral,neutral,none,D-S-E
Young woman jumping and smiling,Young woman jumping and smiling,positive,happiness,none,S-E-D
Sad senior woman sitting on sofa,Sad senior woman sitting on sofa,negative,sad,none,S-E-D
Man sleeping on sofa,Man sleeping on sofa in cozy loft apartment,neutral,neutral,none,S-E-D
Senior woman peering anxiously through blinds,Elderly woman parts blinds to peer into or out of a window.,negative,fear,curiosity,D-S-E
Preschool teacher reading a book to children in classroom.,Preschool teacher reading a book to children. Children sitting on the floor and listening carefully. Models in this shot are part of real kindergarten group and their teacher.,positive,happiness,curiosity,D-S-E
"Portrait of teenage girl , studio shot",Portrait of fearful teenage girl,negative,fear,none,S-E-D
Awkward gift,Man opening a gift and looking with disgust at the contents.,negative,disgust,none,E-S-D
Group of women dancing in fitness studio,Females learning dance in class. Group of women dancing in fitness studio.,neutral,neutral,none,S-E-D
Disloyal man with his girlfriend looking at another girl,Disloyal man with his girlfriend looking at another girl,negative,sad,romance,S-E-D
Vacation in Budapest,Smiling woman on rooftop terrace having fun in social media,positive,happiness,none,E-S-D
Pretty young mom using smartphone with her 2 lovely little daughters joyfully in a Japanese restaurant.,Pretty young mom using smartphone with her 2 lovely little daughters joyfully in a traditional Japanese restaurant.,positive,happiness,family,D-S-E
Mixed race woman gasping,Mixed race woman gasping,negative,fear,none,E-D-S
"Studio headshot of a young girl with her hands covering her eyes, peeking through her fingers...","Studio headshot of a young girl with her hands covering her eyes, peeking through her fingers.",negative,fear,curiosity,S-E-D
Beautiful businesswoman on a meeting,Two people in formal businesswear talking and smiling,positive,happiness,social-contact,S-E-D
Father teaching son to ride bicycle,Mature father teaching his son to ride bicycle in park.,neutral,neutral,family,S-D-E
Ear Ache,Why don't you listen?,negative,anger,vengeance,E-D-S
Man And A Woman Are Fishing At The Mountains,Man and woman are having fun fishing at the mountains,neutral,neutral,none,D-S-E
Blond student sitting on bed reading a book,Blond student sitting on bed reading a book,neutral,neutral,none,S-E-D
Girl with no one to play with on the teeter totter,Sad little girl sitting alone on a teeter tooter with her hands on her face.,negative,sad,none,E-S-D
Reading With a Friend,Woman relaxing reading a book while her pet kitten peeks over the top of it.,positive,happiness,curiosity,D-S-E
Thoughtful businesswoman smiling in office,Thoughtful businesswoman smiling while looking away at creative office with colleagues in background,positive,happiness,none,S-E-D
Three children exploring nature with magnifying glass,Three multi-ethnic children in summer camp exploring nature with a magnifying glass. The 7 year old boy in the middle is mixed race African-American and Caucasian.,positive,happiness,curiosity,S-E-D
Child walking with his mother over the snow. It is the first time he steps in the snow.,Child walking with his mother over the snow. It is the first time he steps in the snow.,neutral,neutral,family,D-S-E
Teenagers celebrating New Year's Eve,Photo of a smiling teenage girls having fun while celebrating New Year's Eve and tossing confetti in the air,positive,happiness,social-contact,D-E-S
An industrial warehouse worker being the target of bullying,"An industrial warehouse worker being the target of bullying, abuse or discrimination.",negative,fear,tranquility,S-E-D
Close-up of pensive young woman looking out of window,Close-up of pensive young woman looking out of window,negative,sad,none,S-D-E
Business people applauding to colleague in office,Business people applauding to colleague in office and celebrating her success,positive,happiness,social-contact,S-E-D
Woman in nature fly fishing for trout wearing sunglasses,Woman fly fishing in British Columbia.,neutral,neutral,none,S-E-D
"Young man bungee jumping from hot air balloon, close-up",Young man bungee jumping from hot air balloon fearfully,negative,fear,tranquility,S-E-D
Father and son on a bicycle lane,"Photo of a young boy and his father on a bicycle lane, learning to ride a bike.",neutral,neutral,family,D-S-E
Oversized businessman peeking around a corner,Giant oversized male businessperson looking around door frame inside office building,negative,fear,curiosity,D-S-E
"Young man sitting on couch at home, using smartphone","Young man sitting on couch at home, using smartphone",positive,happiness,none,S-E-D
Woman asleep in bed,Woman asleep in bed,neutral,neutral,none,D-S-E
African-American couple exercising together,"An African-American couple in the park, exercising together. They are lifting hand weights, power walking, smiling and moving toward the camera. They are both plus size models with large builds.",neutral,neutral,none,D-S-E
Here’s to a life full of smiles,Shot of a newly married young couple celebrating their wedding day against an urban background,positive,happiness,romance,D-E-S
Scared cute girl laying under duvet,Scared cute 4 years old girl laying under duvet,negative,fear,curiosity,D-E-S
Father and Son Looking at the Olympic Mountains,Father and Son Looking at the Olympic Mountains,neutral,neutral,family,D-S-E
Happy young woman dancing with friends in car,Happy young woman dancing with friends seen through car windshield on sunny day,positive,happiness,social-contact,S-E-D
Two businessmen fighting on white background,Two businessmen fighting on white background,negative,anger,vengeance,E-S-D
Mother helping teenager with homework,Mother helping teenager with homework,neutral,neutral,family,D-S-E
Young woman screaming outdoors,Young woman screaming outdoors,positive,happiness,none,S-E-D
Cropped image of woman using laptop with blank screen,Cropped image of woman using laptop with blank screen,neutral,neutral,none,D-S-E
Girl upside down,Girl upside down,positive,happiness,social-contact,S-D-E
Multi-ethnic business group applauding in meeting,Group of businessmen and businessmen clapping hands after a meeting in board room. Multi-ethnic business group applauding in meeting.,positive,happiness,none,S-E-D
Boy making faces with flashlight,Boy showing scared face with flashlight,negative,fear,none,S-E-D
"Young woman using phone and ignoring her boyfriend, Isolated on gray background, studio shot","Young woman using phone and ignoring her boyfriend, Isolated on gray background, studio shot",negative,sad,romance,D-S-E
Portrait of smiling brunette woman,Portrait of smiling brunette woman,positive,happiness,none,S-E-D
An envious girl looking at a happy young couple running at the beach. 1960s..,An envious girl looking at a happy young couple running at the beach. 1960s,negative,sad,romance,D-E-S
You are my biggest achievment,"Affectionate love between father and newborn baby, father holding his son in arms in apartment",neutral,neutral,family,D-S-E
Worrying Caucasian woman hugging legs,Worrying Caucasian woman hugging legs,negative,sad,none,E-D-S
"Happy japanese young man with smart phone at night, Tokyo.","Happy japanese young man with smart phone at night, Tokyo.",positive,happiness,none,S-E-D
Teacher helps young student with math,Caring teacher helps a young schoolgirl with math assignment. The girl is counting on her fingers.,positive,happiness,curiosity,D-S-E
Portrait of a young adult asian woman in Venice,Portrait of a young adult asian woman in Venice,positive,happiness,none,S-E-D
Really don't want to eat this,Little girl refusing to eat her food,negative,disgust,none,E-D-S
Pop in to your local coffee parlor,Portrait of a confident young woman standing in the doorway of a coffee shop,positive,happiness,none,S-E-D
Portrait of happy young woman with glasses,Portrait of happy young woman with glasses,positive,happiness,none,S-E-D
Pain of love,Disappointed young woman and young couple,negative,sad,romance,D-S-E
Woman walking dog at beach.,Running through the sand dunes.,neutral,neutral,none,D-S-E
Angry Business Men Fight In Office,"Business meeting in the board room goes dreadfully wrong, as the works begin to argue and fight and attempt to choke one another.",negative,anger,vengeance,S-D-E
Young Woman Pinching Nose,Young Woman Pinching Nose,negative,disgust,none,S-E-D
Have so many followers in the city,Shot of a fashionable young woman using her cellphone while walking through the city,positive,happiness,none,S-E-D
"Germany, Munich, Bavaria, Mid adult couple looking out through window and getting scared in economy class airliner","Germany, Munich, Bavaria, Mid adult couple looking out through window and getting scared in economy class airliner",negative,fear,tranquility,S-E-D
Woman with eyes closed in woodland.,Woman with eyes closed in woodland.,neutral,neutral,none,S-E-D
Hispanic boy reading under covers,Hispanic boy reading under covers,positive,happiness,curiosity,D-S-E
Teenage girl and dog leading family on hike through forest,Smiling 15 year old daughter running with small dog as family explores natural parkland on weekend in late spring.,neutral,neutral,none,S-E-D
Father Carries Son On Hike Through Forest Trail in Pacific Northwest,"Young mixed race family spends time together outside in Washington state, enjoying the beauty of the woods in the PNW. The dad holds his boy on his shoulders.",positive,happiness,family,D-S-E
